region;country;year;value
SADC;SWZ;2001;1356001719,02
SADC;SWZ;2002;1228968463,04
SADC;SWZ;2003;1845425313,46
SADC;SWZ;2004;2443191962,85
SADC;SWZ;2005;2567662389,05
SADC;SWZ;2006;2935590642,56
SADC;SWZ;2007;3039131817,63
SADC;SWZ;2008;2994419397,65
SADC;SWZ;2009;3194787510,61
SADC;SWZ;2010;3889454960,11
SADC;SWZ;2011;3807001496,30
SADC;SWZ;2012;3765189575,56
SADC;SWZ;2013;3776000000,00
SADC;TZA;2000;10182076932,68
SADC;TZA;2001;10383699224,10
SADC;TZA;2002;10804290886,52
SADC;TZA;2003;11659342257,32
SADC;TZA;2004;12825034881,59
SADC;TZA;2005;14220447136,37
SADC;TZA;2006;14331230928,99
SADC;TZA;2007;16992539746,92
SADC;TZA;2008;20715271576,43
SADC;TZA;2009;21368360594,56
SADC;TZA;2010;22914552445,16
SADC;TZA;2011;23956700221,27
SADC;TZA;2012;28101340631,57
SADC;TZA;2013;33275768675,56
SADC;ZMB;2000;3600396193,28
SADC;ZMB;2001;4095264543,42
SADC;ZMB;2002;4284059037,18
SADC;ZMB;2003;4901750032,78
SADC;ZMB;2004;6227550081,95
SADC;ZMB;2005;8333920776,72
SADC;ZMB;2006;12759881907,52
SADC;ZMB;2007;14064411352,49
SADC;ZMB;2008;17898313266,22
SADC;ZMB;2009;15302123172,15
SADC;ZMB;2010;20267105472,73
SADC;ZMB;2011;23714771657,29
SADC;ZMB;2012;24967719227,17
SADC;ZMB;2013;26841605905,49
SADC;ZWE;2000;9512699496,06
SADC;ZWE;2001;9446331097,20
SADC;ZWE;2002;8961777416,14
SADC;ZWE;2003;8450210822,71
SADC;ZWE;2004;8089977105,84
SADC;ZWE;2005;7842163475,48
SADC;ZWE;2006;7011808364,68
SADC;ZWE;2007;6961513839,36
SADC;ZWE;2008;6576406552,54
SADC;ZWE;2009;8157077421,85
SADC;ZWE;2010;9456808151,12
SADC;ZWE;2011;10956226611,06
SADC;ZWE;2012;12472416688,22
SADC;ZWE;2013;13490227135,74
