country,description,iso
Ghana,"oil, gold, cocoa, timber, tuna, bauxite, aluminum, manganese ore, diamonds, horticultural products",GHA
Gibraltar,"(principally reexports) petroleum 51%, manufactured goods",
Greece,"food and beverages, manufactured goods, petroleum products, chemicals, textiles",GRC
Greenland,"fish and fish products 89%, metals 10%",GRL
Grenada,"nutmeg, bananas, cocoa, fruit and vegetables, clothing, mace",GRD
Guam,"transshipments of refined petroleum products, construction materials, fish, food and beverage products",GUM
Guatemala,"coffee, sugar, petroleum, apparel, bananas, fruits and vegetables, cardamom",GTM
Guernsey,"tomatoes, flowers and ferns, sweet peppers, eggplant, other vegetables",GGY
Guinea,"bauxite, alumina, gold, diamonds, coffee, fish, agricultural products",GIN
Guinea-Bissau,"fish, shrimp; cashew nuts, peanuts, palm kernels, sawn lumber",GNB
Guyana,"sugar, gold, bauxite, alumina, rice, shrimp, molasses, rum, timber",GUY
Haiti,"apparel, manufactures, oils, cocoa, mangoes, coffee",HTI
Honduras,"apparel, coffee, shrimp, automobile wire harnesses, cigars, bananas, gold, palm oil, fruit, lobster, lumber",HND
Hong Kong,"electrical machinery and appliances, textiles, apparel, footwear, watches and clocks, toys, plastics, precious stones, printed material",HKG
Hungary,"machinery and equipment 53.5%, other manufactures 31.2%, food products 8.7%, raw materials 3.4%, fuels and electricity 3.9%",HUN
Iceland,"fish and fish products 40%, aluminum, animal products, ferrosilicon, diatomite",ISL
India,"petroleum products, precious stones, machinery, iron and steel, chemicals, vehicles, apparel",IND
Indonesia,"oil and gas, electrical appliances, plywood, textiles, rubber",IDN
Iran,"petroleum 80%, chemical and petrochemical products, fruits and nuts, carpets",IRN
Iraq,"crude oil 84%, crude materials excluding fuels, food and live animals",IRQ
Ireland,"machinery and equipment, computers, chemicals, medical devices, pharmaceuticals; food products, animal products",IRL
Isle of Man,"tweeds, herring, processed shellfish, beef, lamb",IMN
Israel,"machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel",ISR
Italy,"engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; food, beverages and tobacco; minerals, nonferrous metals",ITA
Jamaica,"alumina, bauxite, sugar, rum, coffee, yams, beverages, chemicals, wearing apparel, mineral fuels",JAM
Japan,motor vehicles 13.6%; semiconductors 6.2%; iron and steel products 5.5%; auto parts 4.6%; plastic materials 3.5%; power generating machinery 3.5%,JPN
Jersey,"light industrial and electrical goods, dairy cattle, foodstuffs, textiles, flowers",JEY
Jordan,"clothing, fertilizers, potash, phosphates, vegetables, pharmaceuticals",JOR
Kazakhstan,"oil and oil products, natural gas, ferrous metals, chemicals, machinery, grain, wool, meat, coal",KAZ
Kenya,"tea, horticultural products, coffee, petroleum products, fish, cement",KEN
Kiribati,"copra 62%, coconuts, seaweed, fish",
Kosovo,"mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textile and textile articles",XKO
