country_name,country_code,capital_city,note,capital_type,city_code,lat,lon,population,iso
Japan,392,Tokyo,36,Capital,21671,35.6895,139.69171,37832.892,JPN
Jordan,400,Amman,37,Capital,21700,31.95522,35.94503,1147.703,JOR
Kazakhstan,398,Astana,,Capital,21679,51.1801,71.44598,740.964,KAZ
Kenya,404,Nairobi,,Capital,21711,-1.28333,36.81667,3767.652,KEN
Kiribati,296,Tarawa,38,Capital,21112,1.327221,172.981305,45.915,
Kuwait,414,Al Kuwayt (Kuwait City),39,Capital,21769,29.353429,47.982244,2680.322,KWT
Kyrgyzstan,417,Bishkek,,Capital,21770,42.87,74.59,857.711,KGZ
Lao People's Democratic Republic,418,Vientiane,,Capital,21772,17.96667,102.6,945.715,
Latvia,428,Riga,,Capital,21778,56.946,24.10589,629.37,LVA
Lebanon,422,Bayrut (Beirut),40,Capital,21773,33.9,35.48333,2178.834,LBN
Lesotho,426,Maseru,,Capital,21775,-29.31667,27.48333,266.58,LSO
Liberia,430,Monrovia,,Capital,21779,6.30054,-10.7969,1223.881,LBR
Libya,434,Tarabulus (Tripoli),,Capital,21782,32.87519,13.18746,1126.013,LBY
Liechtenstein,438,Vaduz,,Capital,21783,47.14151,9.52154,5.321,LIE
Lithuania,440,Vilnius,,Capital,21789,54.68916,25.2798,518.518,LTU
Luxembourg,442,Luxembourg,,Capital,21790,49.61167,6.13,106.68,LUX
Madagascar,450,Antananarivo,,Capital,21792,-18.91368,47.53613,2486.592,MDG
Malawi,454,Lilongwe,,Capital,21799,-13.96692,33.78725,867.469,MWI
Malaysia,458,Kuala Lumpur,41,Capital,206411,3.1412,101.68653,6629.176,MYS
Maldives,462,Male,,Capital,21817,4.1748,73.50888,156.427,
Mali,466,Bamako,,Capital,21818,12.65,-8,2386.064,MLI
Malta,470,Valletta,,Capital,21819,35.89972,14.51472,197.447,MLT
Marshall Islands,584,Majuro,,Capital,22033,7.08971,171.38027,30.861,
Martinique,474,Fort-de-France,,Capital,21820,14.60892,-61.07334,85.817,MTQ
Mauritania,478,Nouakchott,,Capital,21821,18.08581,-15.9785,944.804,MRT
Mauritius,480,Port Louis,,Capital,21822,-20.16194,57.49889,135.496,MUS
Mayotte,175,Mamoudzou,,Capital,205636,-12.779444,45.227222,5.715,MYT
Mexico,484,Ciudad de M̩xico (Mexico City),42,Capital,21853,19.427318,-99.141869,20843.45,MEX
Micronesia (Fed. States of),583,Palikir,,Capital,22032,6.917423,158.158791,6.821,
Monaco,492,Monaco,,Capital,21881,43.73333,7.41667,38.066,
Mongolia,496,Ulaanbaatar,,Capital,21882,47.90771,106.88324,1333.617,MNG
Montenegro,499,Podgorica,,Capital,23256,42.44111,19.26361,164.999,MNE
Montserrat,500,Brades Estate,43,Capital,204440,16.79183,-62.21058,0.465,MSR
Morocco,504,Rabat,44,Capital,21899,34.01325,-6.83255,1931.623,MAR
Mozambique,508,Maputo,,Capital,21910,-25.96528,32.58917,1173.989,MOZ
